user_id,RMSE,actual_rating,item_id,predicted_rating
303,0.0,3,785,3.0
194,1.5,2,274,3.5
234,1.0,2,1184,1.0
308,1.33333333333,4,1,2.66666666667
301,0.5,4,98,4.5
276,3.0,1,796,4.0
7,0.25,4,32,4.25
284,0.75,4,304,3.25
276,0.5,3,564,2.5
178,1.0,3,332,4.0
59,1.11111111111,5,196,3.88888888889
194,1.0,4,165,5.0
178,0.5,4,248,4.5
293,0.0,3,5,3.0
127,1.0,5,229,4.0
276,0.461538461538,3,54,3.46153846154
222,0.25,4,366,3.75
90,2.0,5,382,3.0
293,0.0,3,685,3.0
271,0.833333333333,5,132,4.16666666667
168,3.0,5,151,2.0
90,0.0,4,648,4.0
271,0.0,4,346,4.0
94,1.0,4,789,3.0
194,1.85714285714,2,385,3.85714285714
222,0.5,5,750,4.5
293,0.4,3,471,3.4
59,0.777777777778,5,23,4.22222222222
7,0.5,4,479,4.5
194,1.0,4,466,3.0
85,1.25,3,427,4.25
303,0.5,4,919,4.5
90,2.0,5,98,3.0
268,0.5,4,231,3.5
18,0.5,3,443,3.5
268,1.0,2,1035,3.0
26,1.0,3,258,4.0
7,0.0,4,455,4.0
222,0.363636363636,4,755,3.63636363636
276,0.2,3,322,2.8
94,1.4,3,1217,1.6
130,1.0,4,379,3.0
293,0.0,3,1267,3.0
92,1.5,3,1079,1.5
92,0.666666666667,3,77,3.66666666667
90,0.0,4,347,4.0
194,1.375,3,181,4.375
151,2.0,5,10,3.0
303,1.0,5,69,4.0
301,1.66666666667,4,790,2.33333333333
276,0.2,3,1091,2.8
194,0.0,2,1028,2.0
178,0.5,4,568,4.5
92,0.666666666667,4,172,4.66666666667
301,1.5,4,401,2.5
194,0.25,3,54,3.25
303,0.333333333333,3,815,2.66666666667
268,0.0,2,930,2.0
268,1.5,2,2,3.5
100,0.0,4,344,4.0
268,1.0,1,145,2.0
301,0.75,4,56,4.75
234,0.571428571429,3,141,3.57142857143
7,0.333333333333,4,382,3.66666666667
85,0.25,4,507,4.25
59,0.0,3,468,3.0
222,0.666666666667,4,118,3.33333333333
301,0.5,5,79,4.5
33,2.0,3,872,5.0
301,0.666666666667,3,554,2.33333333333
222,0.5,4,77,3.5
94,0.0,4,343,4.0
301,0.666666666667,3,227,3.66666666667
301,0.0,3,191,3.0
112,3.0,1,903,4.0
222,0.75,3,724,3.75
308,1.0,4,1197,3.0
303,0.333333333333,5,134,4.66666666667
276,0.923076923077,4,2,3.07692307692
